Position_x,Wavefunction_Psi,Potential_Energy_V
-0.3599999999999999,0.130423708738146,0.0
-0.3500000000000001,0.1699671429002406,0.0
-0.33999999999999986,0.2092386658914199,0.0
-0.33000000000000007,0.24817545165237268,0.0
-0.31999999999999984,0.2867152096319561,0.0
-0.31000000000000005,0.32479628443877606,0.0
-0.2999999999999998,0.36235775447667423,0.0
-0.29000000000000004,0.39933952940627304,0.0
-0.2799999999999998,0.4356824462767129,0.0
-0.27,0.47132836417373997,0.0
-0.2599999999999998,0.5062202572327792,0.0
-0.25,0.5403023058681398,0.0
-0.23999999999999977,0.5735199860724575,0.0
-0.22999999999999998,0.6058201566434629,0.0
-0.21999999999999975,0.637151144198581,0.0
-0.20999999999999996,0.6674628258413082,0.0
-0.19999999999999973,0.6967067093471662,0.0
-0.18999999999999995,0.7248360107409053,0.0
-0.18000000000000016,0.7518057291408945,0.0
-0.16999999999999993,0.7775727187509281,0.0
-0.16000000000000014,0.8020957578842923,0.0
-0.1499999999999999,0.8253356149096784,0.0
-0.14000000000000012,0.8472551110134159,0.0
-0.1299999999999999,0.8678191796776501,0.0
-0.1200000000000001,0.886994922779284,0.0
-0.10999999999999988,0.9047516632199636,0.0
-0.10000000000000009,0.921060994002885,0.0
-0.08999999999999986,0.935896823677935,0.0
-0.08000000000000007,0.9492354180824408,0.0
-0.06999999999999984,0.9610554383107711,0.0
-0.06000000000000005,0.9713379748520296,0.0
-0.04999999999999982,0.9800665778412417,0.0
-0.040000000000000036,0.9872272833756269,0.0
-0.029999999999999805,0.9928086358538664,0.0
-0.020000000000000018,0.9968017063026193,0.0
-0.009999999999999787,0.999200106660978,0.0
0.0,1.0,1.5
0.01,0.9801986733067553,1.5
0.02,0.9607894391523232,1.5
0.03,0.9417645335842487,1.5
0.04,0.9231163463866358,1.5
0.05,0.9048374180359595,1.5
0.06,0.8869204367171575,1.5
0.07,0.8693582353988059,1.5
0.08,0.8521437889662113,1.5
0.09,0.835270211411272,1.5
0.1,0.8187307530779818,1.5
0.11,0.8025187979624785,1.5
0.12,0.7866278610665535,1.5
0.13,0.7710515858035663,1.5
0.14,0.7557837414557255,1.5
0.15,0.7408182206817179,1.5
0.16,0.7261490370736909,1.5
0.17,0.7117703227626097,1.5
0.18,0.697676326071031,1.5
0.19,0.6838614092123558,1.5
0.2,0.6703200460356393,1.5
0.21,0.6570468198150567,1.5
0.22,0.6440364210831414,1.5
0.23,0.631283645506926,1.5
0.24,0.6187833918061408,1.5
0.25,0.6065306597126334,1.5
0.26,0.5945205479701944,1.5
0.27,0.5827482523739896,1.5
0.28,0.5712090638488149,1.5
0.29,0.559898366565402,1.5
0.3,0.5488116360940265,1.5
0.31,0.5379444375946745,1.5
0.32,0.5272924240430485,1.5
0.33,0.5168513344916992,1.5
0.34,0.5066169923655895,1.5
0.35000000000000003,0.49658530379140947,1.5
0.36,0.4867522559599717,1.5
0.37,0.4771139155210344,1.5
0.38,0.46766642700990924,1.5
0.39,0.4584060113052235,1.5
0.4,0.44932896411722156,1.5
0.41000000000000003,0.44043165450599925,1.5
0.42,0.43171052342907973,1.5
0.43,0.4231620823177488,1.5
0.44,0.4147829116815814,1.5
0.45,0.4065696597405991,1.5
0.46,0.39851904108451414,1.5
0.47000000000000003,0.3906278353585211,1.5
0.48,0.38289288597511206,1.5
0.49,0.37531109885139957,1.5
0.5,0.36787944117144233,1.5
0.51,0.3605949401730783,1.5
0.52,0.35345468195878016,1.5
0.53,0.3464558103300574,1.5
0.54,0.3395955256449391,1.5
0.55,0.33287108369807955,1.5
0.56,0.32627979462303947,1.5
0.5700000000000001,0.31981902181630384,1.5
0.58,0.3134861808826053,1.5
0.59,0.30727873860113125,1.5
