Position (x),Wave Amplitude (Psi)
-0.11422845691382788,0.7957605827434758
-0.10821643286573135,0.8053866021481945
-0.10220440881763526,0.8151290639246375
-0.09619238476953917,0.8249893766328097
-0.09018036072144309,0.8349689658715412
-0.08416833667334656,0.8450692744846009
-0.07815631262525047,0.855291762769299
-0.07214428857715438,0.8656379086876206
-0.0661322645290583,0.876109208079906
-0.06012024048096176,0.8867071748811196
-0.054108216432865675,0.8974333413397312
-0.04809619238476959,0.9082892582392516
-0.0420841683366735,0.9192764951224415
-0.03607214428857697,0.9303966405182369
-0.03006012024048088,0.941651302171414
-0.024048096192384794,0.9530421072750414
-0.018036072144288706,0.9645707027057353
-0.012024048096192619,0.9762387552617652
-0.006012024048096087,0.9880479519040389
0.0,1.0
0.0,1.0
0.006012024048096192,0.9995482286058947
0.012024048096192385,0.9981933226183635
0.018036072144288578,0.9959365062529405
0.02404809619238477,0.9927798186397767
0.03006012024048096,0.9887261119811998
0.036072144288577156,0.9837790489746265
0.04208416833667335,0.9779430995031595
0.04809619238476954,0.9712235365968559
0.05410821643286573,0.9636264316683195
0.06012024048096192,0.95515864902692
0.06613226452905811,0.9458278396765951
0.07214428857715431,0.9356424344028414
0.0781563126252505,0.9246116361551391
0.0841683366733467,0.9127454117316931
0.09018036072144288,0.9000544827740043
0.09619238476953908,0.8865503160794084
0.10220440881763528,0.8722451132403328
0.10821643286573146,0.8571517996196371
0.11422845691382766,0.8412840126719929
0.12024048096192384,0.8246560896218621
0.12625250501002003,0.8072830545091992
0.13226452905811623,0.7891806046145898
0.13827655310621242,0.7703650962760852
0.14428857715430862,0.7508535301105509
0.15030060120240482,0.7306635356528827
0.156312625250501,0.7098133554269668
0.1623246492985972,0.688321828462779
0.1683366733466934,0.6662083732745158
0.1743486973947896,0.6434929703151345
0.18036072144288576,0.6201961439231609
0.18637274549098196,0.5963389437780693
0.19238476953907815,0.5719429258809978
0.19839679358717435,0.5470301330779783
0.20440881763527055,0.5216230751432822
0.21042084168336672,0.49574470844087637
0.21643286573146292,0.46941841518236477
0.22244488977955912,0.4426679823001618
0.22845691382765532,0.4155175799549799
0.2344689378757515,0.3879917396970549
0.24048096192384769,0.3601153323008413
0.24649298597194388,0.3319135452932029
0.25250501002004005,0.30341186019540556
0.25851703406813625,0.2746360294994711
0.26452905811623245,0.2456120533996993
0.27054108216432865,0.21636615630038078
0.27655310621242485,0.18692476312092396
0.28256513026052105,0.15731447541981142
0.28857715430861725,0.12756204735895194
0.29458917835671344,0.0976943615301521
0.30060120240480964,0.06773840466554261
0.3066132264529058,0.037721243253913114
0.312625250501002,0.007669999084978979
0.3186372745490982,-0.022388175256314195
0.3246492985971944,-0.05242612092331333
0.3306613226452906,-0.08241669734683811
0.3366733466933868,-0.11233280675784701
0.342685370741483,-0.1421474186714306
0.3486973947895792,-0.17183359431001086
0.35470941883767537,-0.20136451094367974
0.3607214428857715,-0.23071348612568365
0.3667334669338677,-0.25985400180115614
0.3727454909819639,-0.28875972826731333
0.3787575150300601,-0.31740454796346906
0.3847695390781563,-0.3457625790693669
0.3907815631262525,-0.37380819889051364
0.3967935871743487,-0.40151606700937864
0.4028056112224449,-0.4288611481815465
0.4088176352705411,-0.45581873495613157
0.41482965931863724,-0.48236447000001487
0.42084168336673344,-0.508474368105741
0.42685370741482964,-0.5341248378631754
0.43286573146292584,-0.559292702975354
0.43887775551102204,-0.5839552231992603
0.44488977955911824,-0.6080901148926072
0.45090180360721444,-0.6316755711480604
0.45691382765531063,-0.6546902814967137
0.46292585170340683,-0.677113451163009
0.468937875751503,-0.6989248198537056
0.4749498997995992,-0.7201046800639217
0.48096192384769537,-0.7406338948837093
0.48697394789579157,-0.7604939152890705
0.49298597194388777,-0.7796667969017939
0.49899799599198397,-0.7981352162029692
0.5050100200400801,-0.8158824861855273
0.5110220440881763,-0.832892571431665
0.5170340681362725,-0.8491501026015313
0.5230460921843687,-0.8646403903200836
0.5290581162324649,-0.8793494384495665
0.5350701402805611,-0.893263956735621
0.5410821643286573,-0.9063713728155984
0.5470941883767535,-0.9186598435782277
0.5531062124248497,-0.930118265864373
0.5591182364729459,-0.9407362864992133
0.5651302605210421,-0.9505043116467791
0.5711422845691383,-0.9594135154783933
0.5771543086172345,-0.967455848147185
0.5831663326653307,-0.974624043061471
0.5891783567134269,-0.9809116234504319
0.5951903807615231,-0.9863129082161521
0.6012024048096193,-0.9908230170667344
0.6072144288577154,-0.9944378749258527
0.6132264529058116,-0.9971542156147583
0.6192384769539078,-0.998969584803411
0.625250501002004,-0.9998823422280728
0.6312625250501002,-0.9998916631733552
0.6372745490981964,-0.9989975392173851
0.6432865731462926,-0.9972007782394149
0.6492985971943888,-0.9945030036898682
0.655310621242485,-0.9909066531234837
